X,Y,U,V,absV,
Rectangular zone
1.03895,0.126993,-1.61028,-0.880509,1.87388,
1.10784,0.126993,-1.74032,-0.644558,1.85837,
1.17673,0.126993,-1.01471,-0.297454,1.05945,
1.24562,0.126993,-0.252383,-0.139236,0.288607,
1.31451,0.126993,-0.574644,-0.162221,0.604297,
1.3834,0.126993,-0.0255181,-0.0814908,0.0960381,
1.45228,0.126993,-0.589911,-0.189233,0.621799,
1.52117,0.126993,-0.440129,-0.000779656,0.442623,
1.59006,0.126993,-0.332472,-0.0349983,0.3633,
-1.78551,0.169324,0.123159,-0.129589,0.189791,
-1.71662,0.169324,0.31989,-0.0665523,0.36783,
-1.64773,0.169324,0.496211,-0.322268,0.612538,
-1.57884,0.169324,0.227541,-0.0513999,0.244826,
-1.50996,0.169324,0.857549,-0.276234,0.90211,
-1.44107,0.169324,0.15893,-0.0477615,0.431222,
-1.37218,0.169324,0.00575373,0.0542368,0.170901,
-1.30329,0.169324,0.839088,-0.317815,0.901679,
-1.2344,0.169324,0.828448,-0.282232,0.884895,
-1.16551,0.169324,0.607387,-0.46073,0.770041,
-1.09662,0.169324,1.01319,-0.365751,1.08325,
-1.02773,0.169324,3.82799,-1.93457,4.29925,
-0.958841,0.169324,3.41686,-2.36854,4.1952,
-0.889952,0.169324,7.40431,-5.49977,9.24378,
-0.821062,0.169324,4.83284,-3.20776,5.92742,
-0.752173,0.169324,4.80248,-3.15609,5.93728,
-0.683284,0.169324,10.4281,-2.73972,10.9271,
-0.614395,0.169324,10.2117,-1.45212,10.487,
-0.545505,0.169324,2.81219,-0.431243,2.95537,
-0.476616,0.169324,0.089488,-0.0168971,0.098353,
-0.407727,0.169324,0.00826818,-0.00527588,0.00980804,
-0.338837,0.169324,0,0,0,
-0.269948,0.169324,0,0,0,
-0.201059,0.169324,0,0,0,
-0.132169,0.169324,0,0,0,
-0.06328,0.169324,0,0,0,
0.00560927,0.169324,0,0,0,
0.0744986,0.169324,0,0,0,
0.143388,0.169324,0,0,0,
0.212277,0.169324,0,0,0,
0.281167,0.169324,0,0,0,
0.350056,0.169324,0,0,0,
0.418945,0.169324,-0.0073408,-0.00467128,0.00870105,
0.487834,0.169324,-0.0787531,-0.0537899,0.0960082,
0.556724,0.169324,-1.95998,-1.32894,2.37756,
0.625613,0.169324,-4.57794,-2.99409,5.47485,
0.694502,0.169324,-4.29958,-3.62674,5.63663,
0.763392,0.169324,-5.69318,-4.5419,7.28311,
0.832281,0.169324,-2.41422,-1.84408,3.0683,
0.90117,0.169324,-0.498506,-0.472648,0.686975,
0.97006,0.169324,-2.04795,-1.30797,2.43502,
1.03895,0.169324,-0.6045,-1.04975,1.43545,
1.10784,0.169324,-2.06117,-1.03713,2.30739,
1.17673,0.169324,-1.11505,-0.487591,1.22767,
1.24562,0.169324,-0.850646,-0.489126,1.02023,
1.31451,0.169324,-0.125182,-0.0990723,0.177951,
1.3834,0.169324,-0.909534,-0.200602,0.940122,
1.45228,0.169324,-0.108415,0.0508263,0.174059,
1.52117,0.169324,-0.622335,-0.142138,0.639302,
1.59006,0.169324,-0.128862,-0.20768,0.26427,
-1.78551,0.211655,0.00861756,-0.24511,0.253531,
-1.71662,0.211655,0.179051,-0.0624576,0.190808,
-1.64773,0.211655,0.654176,-0.24914,0.70076,
-1.57884,0.211655,0.316724,-0.0709554,0.452566,
-1.50996,0.211655,-0.615082,-0.0761994,0.780591,
-1.44107,0.211655,0.320143,-0.156955,0.456107,
-1.37218,0.211655,0.591006,-0.227215,0.661357,
-1.30329,0.211655,0.694124,-0.304363,0.762031,
-1.2344,0.211655,0.221716,-0.279381,0.380203,
-1.16551,0.211655,0.686905,-0.254813,0.76401,
-1.09662,0.211655,3.31102,-2.01864,3.87792,
-1.02773,0.211655,0.889281,-0.533961,1.03881,
-0.958841,0.211655,3.64527,-2.88088,4.6696,
-0.889952,0.211655,4.87148,-4.30356,6.51972,
-0.821062,0.211655,7.89773,-7.46637,10.8683,
-0.752173,0.211655,7.71295,-7.32656,10.6461,
-0.683284,0.211655,5.27334,-1.91875,5.61354,
-0.614395,0.211655,5.99639,-1.75902,6.35848,
-0.545505,0.211655,2.8947,-1.12493,3.17417,
-0.476616,0.211655,0.303989,-0.190285,0.387322,
-0.407727,0.211655,0.00611664,-0.00330476,0.00716229,
-0.338837,0.211655,0,0,0,
-0.269948,0.211655,0,0,0,
-0.201059,0.211655,0,0,0,
-0.132169,0.211655,0,0,0,
-0.06328,0.211655,0,0,0,
0.00560927,0.211655,0,0,0,
0.0744986,0.211655,0,0,0,
0.143388,0.211655,0,0,0,
0.212277,0.211655,0,0,0,
0.281167,0.211655,0,0,0,
0.350056,0.211655,0,0,0,
0.418945,0.211655,-0.00787804,-0.00626033,0.0102487,
0.487834,0.211655,-0.282979,-0.217365,0.362682,
0.556724,0.211655,-1.51922,-1.10406,1.89459,
0.625613,0.211655,-2.23738,-1.42376,2.65197,
0.694502,0.211655,-4.53434,-4.19849,6.19833,
0.763392,0.211655,-4.6717,-4.36486,6.41727,
0.832281,0.211655,-2.46681,-2.3424,3.43479,
0.90117,0.211655,-0.911292,-0.750406,1.19227,
0.97006,0.211655,-2.51167,-2.0757,3.26021,
1.03895,0.211655,-0.724185,-0.537692,0.99,
1.10784,0.211655,-2.02367,-1.39759,2.46238,
1.17673,0.211655,-1.14231,-0.712922,1.35518,
1.24562,0.211655,-1.21077,-0.639378,1.37325,
1.31451,0.211655,-0.745149,-0.263542,0.832002,
1.3834,0.211655,-0.403371,-0.182082,0.46053,
1.45228,0.211655,-0.552233,-0.275387,0.631472,
1.52117,0.211655,-0.81936,-0.263787,0.866221,
